lineopen,line,road,home,linehow,linemarsee,linedokter,linebihl,linekeep,lineatom,lineargh,linecong,linebillings,linebillings2,lineharville,linecather,lineburdorf,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linebmc,linetempo,linedonchess,linefeng,linepugh,linedwig,linefpi,linetalis,lineround,linerba,linemidweek,linegiddens,lineunion,neutral,linesag,linesagr,linesagpred,linesaggm,linepfz,linemoore,linenutshell,lineelo,lineborn,linefox,linelaz,linepig,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineash,linesuper,linecovers,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linem2,lineavg,linestd,linemedian,phcover,phwin,lineca
4,4.5,Texas-San Antonio,Rice,-14.5,,8.4,,1.88,,-2,8.49,,,2.42,4,,11.2,8.7,10.5,,,4.19,2,,,6.9,3.5,0.51,,5.8518351328,3.31,-13,,,,,0,-5.83,-3.81,-6.33,-7.43,3.74,0.9,,-3.213971847,2.95,8,-5.15,,-0.2435,,,,,,-0.9375,,10.2,4.9,,,2.254,1,1.93,3.879,,1.6617103796,6.2163531877,2.42,0.4519503394,0.5386913379,4.5
14.5,9.5,San Jose St.,San Diego St.,12.5,,15.84,,7.98,,7,14.5,,,9.86,18,,9.7,9.2,11,,,10.45,13,,,16,8.3,11.52,,13.252994433,10.96,,,,,,0,12.43,9.74,12.94,14.27,20.28,15.49,,4.114315886,16.65,18,6.02,,13.8862,,,,,,24.5625,,5.55,14.1,,,13.755,-1,17.12,14.933,,12.732470892,4.3615628872,12.97,0.5556742735,0.7795194934,10
-8,-7.5,Texas A&M,South Carolina,-11,,-0.01,,-11.53,,-8,-16.17,,,-2.81,2,,-0.8,-2.7,-1.2,,,-0.81,-2.5,,,-9.4,-3,-3.19,,-1.841223703,-4.31,-13,,,,,0,-6.49,-11.89,-2.94,-4.74,-4.27,-5.12,,-8.025170532,-2.65,3,0.23,,-1.3943,,,,,,-9.5625,,-2.45,-3.6,,,-9.982,-9,-3.93,-2.133,,-4.751091264,4.49690309,-3.19,0.5473354568,0.3870915192,-7
-14,-14,Boston College,Syracuse,-14,,-9.77,,-11.09,,-14,-4.19,,,-8.68,,,-11.7,-10.4,-12,,,-3.31,-4.5,,,-3.6,-6.6,-9.02,,-11.72852566,-7.2,-11,,,,,0,-9.72,-15.78,-7.7,-5.57,-4.42,-17.02,,-12.97517089,-8.15,-5,-8.45,,-7.5326,,,,,,-21.9375,,-8.05,-9.1,,,-12.453,-13,-14.67,-9.574,,-9.732082251,4.1683165684,-9.337,0.5734429401,0.2773361166,-13
10,9,Texas Tech,TCU,9.5,,10.7,,5.97,,10,5.72,,,10.8,11,,10.9,9.8,10.7,,,9.03,8.5,,,8.6,8,13.13,,14.041973807,12.49,10,,,,,0,11.02,9.7,12.17,11.28,11.01,11.79,,7.146120517,13.95,14,11.79,,8.8666,,,,,,20.125,,16.75,13.1,,,14.4095,4,14.01,9.151,,11.118576981,2.8995064793,10.9,0.536925657,0.7537616318,9
-10,-17.5,SMU,Temple,-20,,-6.66,,-11.64,,-21,-0.53,,,-12.35,-6,,-6.2,-5.8,-6.6,,,-4.75,7,,,-9.5,-9,-15.85,,-9.217968807,-10.74,-26,,,,,0,-14.41,-19.05,-13.44,-10.76,-2.39,-18.14,,-10.90010457,-11.15,-5,-12.95,,-5.9611,,,,,,-21.8125,,-7.3,-10.7,,,-16.702,-23,-11.52,-10.346,,-10.78199067,6.5579395556,-10.74,0.6120436627,0.2657796048,-16.5
11,6.5,West Va.,Texas,8,,11.7,,7.84,,7,16.96,,,9.02,10,,11.6,10.5,11.7,,,7.9,1.5,,,7.7,9.9,10.15,,12.991264385,8.84,9,,,,,0,7.63,6.55,7.58,8.71,8.66,5.61,,5.262986916,8.05,11,5.42,,12.5733,,,,,,12.5625,,9.9,11,,,9.079,1,10.07,5.17,,9.0608300372,2.822014654,9,0.544623333,0.712198433,7
-17,-17.5,Appalachian St.,Texas St.,-17,,-19,,-23.33,,-21,-20.27,,,-15.34,-22,,-20,-18.7,-21.9,,,-13.3,-16.5,,,-13,-20.6,-15.09,,-17.15627376,-23.06,-15,,,,,0,-19.05,-21.92,-16.55,-18.63,-19.26,-11.74,,-15.91742031,-20.25,-21,-12.69,,-22.8996,,,,,,-27.125,,-3.05,-16.8,,,-21.728,,-25.4,-16.779,,-18.37243697,4.5083857058,-19,0.4849464801,0.1336588575,-17.5
18,23.5,Bowling Green,Toledo,18,,17.27,,26.2,,14,12.23,,,12.24,25,,15.6,15.1,19,,,10.58,14.5,,,13.3,20.5,22.21,,15.208904452,13.66,,,,,,0,19.51,19.05,19.38,20.14,15.96,21,,10.854205294,18.15,19,17.38,,20.39,,,,,,20.5625,,13.3,22.5,,,10.2095,-1,13.59,18.167,,17.168885581,4.0497214337,17.69,0.3916956667,0.8517784748,22.5
-10,-11,Fresno St.,UNLV,-9.5,,-10.26,,-6.53,,-4,-1.77,,,-6.83,-7,,-10.5,-9.7,-11,,,-8.47,-6,,,-13.2,-10,-10.81,,-5.021105496,-8.69,,,,,,0,-2.39,-1.03,-0.64,-5.44,-11.42,-15.88,,-5.24594161,-11.45,-8,-7.47,,-17.6783,,,,,,-14.3125,,3.1,-7.3,,,-4.6655,-10,-5.23,-7.436,,-7.699098444,4.4207878912,-7.453,0.5568174323,0.3207839963,-10.5
10.5,11,Arizona St.,USC,6,,14.79,,17.33,,11,11.16,,,5.48,11,,10.9,8.7,9.9,,,5.99,17,,,8.1,3.8,6.04,,16.244617163,5.89,,,,,,0,6.57,6.45,6.54,6.77,2.63,9.73,,7.342361994,5.55,7,6.52,,9.8114,,,,,,12.875,,13.15,13.1,,,9.541,-1,5.12,6.22,,8.9483640929,3.7952959899,7.721180997,0.4644408875,0.7075345736,11
14.5,14,Arizona,Utah,20,,19.17,,20.59,,11,5.99,,,17.84,22,,10.3,11.7,12.2,,,11.93,23,,,8.2,22.7,18.17,,11.804195479,31.19,,,,,,0,13.57,13.28,13.51,14.03,23.98,13.23,,19.728580442,24.05,25,17.25,,27.9088,,,,,,28.1875,,25.7,13.3,,,20.0235,-1,23.86,23.275,,18.166693409,6.3257187576,18.67,0.5702550301,0.8553085999,14
0,3,Louisville,Virginia,8.5,,1.55,,-4.79,,9,4.31,,,6.94,6,,-2.3,-1.8,-1.1,,,3.38,-5.5,,,2.7,4.3,5.04,,-2.278983079,6.76,12,,,,,0,4.63,7.13,3.86,2.41,12.33,4.15,,7.273732276,4.05,4,5.16,,6.6314,,,,,,9.875,,3.25,3.8,,,8.1655,-3,9.09,1.559,,4.2878756914,4.2967623901,4.3,0.5222543139,0.6024794239,3
19,14.5,Liberty,Virginia Tech,7,,15.34,,20.08,,11,37.08,,,16.78,21,,17,14.8,17.4,,,15.98,13,,,18,11.6,20.56,,19.28234925,15.81,12,,,,,0,18.16,14.47,19.41,20.15,9.63,13.07,,14.659397888,14.95,15,18.8,,19.4703,,,,,,24,,11.65,19.1,,,14.574,-1,5.45,12.495,,16.250029918,5.4291906831,15.81,0.5299197233,0.8327657781,14.5
