Time Script Ran,Game Date,Sport,Team,Bet Amount,Odds of Winning,Best Book,Potential Winnings with Best Book,Expected Value,Winner,Bet Winnings,Row_Key,Minimum Odds to Bet
11/30/20 14:28,11/30/20,CBB,Fairleigh Dickinson,100,0.22,,500,31,No Win,-100,2020-11-30_CBB_Fairleigh Dickinson,
12/1/20 8:56,12/1/20,CBB,USC,100,0.62,,145,51,USC,145,2020-12-01_CBB_USC,
12/1/20 9:58,12/1/20,CBB,Texas,100,0.53,,112,12,Texas,112,2020-12-01_CBB_Texas,
11/30/20 14:43,12/1/20,Soccer English League One,Swindon Town,100,0.327,,270,20,No Win,-100,2020-12-01_Soccer English League One_Swindon Town,
11/30/20 14:43,12/1/20,Soccer English League One,Portsmouth,100,0.4598,,148,14,No Win,-100,2020-12-01_Soccer English League One_Portsmouth,
11/30/20 14:43,12/1/20,Soccer English League One,Lincoln City Draw,100,0.2857,,290,11,No Win,-100,2020-12-01_Soccer English League One_Lincoln City Draw,
11/30/20 14:43,12/1/20,Soccer English League One,Wigan,100,0.2494,,525,55,No Win,-100,2020-12-01_Soccer English League One_Wigan,
11/30/20 14:43,12/1/20,Soccer English League One,Fleetwood Town,100,0.5439,,110,14,No Win,-100,2020-12-01_Soccer English League One_Fleetwood Town,
11/30/20 14:43,12/1/20,Soccer English League One,Rochdale,100,0.293,,295,15,Rochdale,295,2020-12-01_Soccer English League One_Rochdale,
11/30/20 14:47,12/1/20,Soccer French Ligue 2,Toulouse,100,0.511,,179,43,Toulouse,179,2020-12-01_Soccer French Ligue 2_Toulouse,
11/30/20 14:47,12/1/20,Soccer French Ligue 2,Troyes,100,0.4073,,179,14,Troyes,179,2020-12-01_Soccer French Ligue 2_Troyes,
11/30/20 14:47,12/1/20,Soccer French Ligue 2,Valenciennes,100,0.4276,,160,11,No Win,-100,2020-12-01_Soccer French Ligue 2_Valenciennes,
11/30/20 14:47,12/1/20,Soccer French Ligue 2,Amiens,100,0.5571,,100,11,Amiens,100,2020-12-01_Soccer French Ligue 2_Amiens,
11/30/20 14:50,12/1/20,Soccer Champions League,Ajax,100,0.2633,,390,29,No Win,-100,2020-12-01_Soccer Champions League_Ajax,
12/1/20 9:08,12/1/20,CBB,New Hampshire,100,0.73,,56,13,No Win,-100,2020-12-01_CBB_New Hampshire,
12/1/20 10:38,12/1/20,CBB,Stanford,100,0.46,,160,19,No Win,-100,2020-12-01_CBB_Stanford,
12/1/20 10:38,12/1/20,CBB,Valparaiso,100,0.64,,83,17,No Win,-100,2020-12-01_CBB_Valparaiso,
12/1/20 10:38,12/1/20,CBB,Hampton,100,0.15,,700,20,Hampton,700,2020-12-01_CBB_Hampton,
12/1/20 14:28,12/1/20,CBB,Eastern Illinois,100,0.11,,911,11,No Win,-100,2020-12-01_CBB_Eastern Illinois,
12/1/20 8:56,12/1/20,CBB,South Dakota,100,0.15,,700,20,No Win,-100,2020-12-01_CBB_South Dakota,
12/1/20 14:28,12/1/20,CBB,UNLV,100,0.18,,570,20,No Win,-100,2020-12-01_CBB_UNLV,
12/1/20 17:11,12/2/20,Soccer Champions League,Manchester United,100,0.4058,,190,17,No Win,-100,12/2/20_Soccer Champions League_Manchester United,
12/1/20 17:11,12/2/20,Soccer Champions League,Barcelona,100,0.7524,,52,14,Barcelona,52,12/2/20_Soccer Champions League_Barcelona,
12/1/20 23:03,12/2/20,Soccer English League One,Gillingham,100,0.3669,,204,11,Gillingham,204,12/2/20_Soccer English League One_Gillingham,
12/1/20 23:03,12/2/20,Soccer English League One,Hull City,100,0.5897,,95,14,Hull City,95,12/2/20_Soccer English League One_Hull City,
12/1/20 23:03,12/2/20,Soccer English League One,Charlton Athletic,100,0.5366,,125,20,No Win,-100,12/2/20_Soccer English League One_Charlton Athletic,
12/1/20 23:04,12/2/20,Soccer English League Two,Salford City,100,0.5259,,195,55,No Win,-100,12/2/20_Soccer English League Two_Salford City,
12/1/20 23:04,12/2/20,Soccer English League Two,Stevenage,100,0.303,,309,24,No Win,-100,12/2/20_Soccer English League Two_Stevenage,
12/1/20 23:04,12/2/20,Soccer Swiss Raiffeisen Super League,FC Vaduz,100,0.2583,,423,35,No Win,-100,12/2/20_Soccer Swiss Raiffeisen Super League_FC Vaduz,
12/1/20 23:04,12/2/20,Soccer Spanish Segunda Division,Espanyol,100,0.6103,,100,22,Espanyol,100,12/2/20_Soccer Spanish Segunda Division_Espanyol,
12/1/20 23:04,12/2/20,Soccer Spanish Segunda Division,Logrones,100,0.4416,,152,11,No Win,-100,12/2/20_Soccer Spanish Segunda Division_Logrones,
12/1/20 23:04,12/2/20,Soccer Spanish Segunda Division,Lugo,100,0.4238,,173,15,No Win,-100,12/2/20_Soccer Spanish Segunda Division_Lugo,
12/1/20 23:45,12/2/20,Soccer Norwegian Tippeligaen,Bodo/Glimt,100,0.6896,,67,15,No Win,-100,12/2/20_Soccer Norwegian Tippeligaen_Bodo/Glimt,
12/1/20 23:45,12/2/20,Soccer Norwegian Tippeligaen,Viking FK,100,0.5019,,135,17,Viking FK,135,12/2/20_Soccer Norwegian Tippeligaen_Viking FK,
12/1/20 23:45,12/2/20,Soccer Norwegian Tippeligaen,Stabaek,100,0.3476,,235,16,No Win,-100,12/2/20_Soccer Norwegian Tippeligaen_Stabaek,
12/2/20 10:47,12/2/20,Soccer Champions League,Borussia Dortmund,100,0.6818,,64,12,No Win,-100,12/2/20_Soccer Champions League_Borussia Dortmund,
12/2/20 10:51,12/2/20,Soccer English League Championship,Norwich City,100,0.5367,,108,11,No Win,-100,12/2/20_Soccer English League Championship_Norwich City,
12/2/20 10:51,12/2/20,Soccer English League Championship,Wycombe Wanderers,100,0.2694,,330,15,No Win,-100,12/2/20_Soccer English League Championship_Wycombe Wanderers,
12/2/20 14:24,12/2/20,CBB,Army,100,0.05,,2400,25,No Win,-100,12/2/20_CBB_Army,
12/2/20 10:21,12/2/20,CBB,Texas,100,0.58,,100,15,Texas,100,12/2/20_CBB_Texas,
11/28/20 19:09,12/2/20,NFL,BAL,100,0.297604561,,290,16,No Win,-100,12/2/20_NFL_BAL,
12/1/20 17:07,12/2/20,CBB,West Virginia,100,0.34,,275,27,No Win,-100,12/2/20_CBB_West Virginia,
12/1/20 17:07,12/2/20,CBB,Oral Roberts,100,0.16,,700,28,No Win,-100,12/2/20_CBB_Oral Roberts,
12/2/20 10:21,12/2/20,CBB,Presbyterian,100,0.23,,420,19,No Win,-100,12/2/20_CBB_Presbyterian,
12/2/20 16:56,12/2/20,CBB,Lipscomb,100,0.1,,1040,13,No Win,-100,12/2/20_CBB_Lipscomb,
12/1/20 17:07,12/2/20,CBB,Incarnate Word,100,0.09,,1200,16,No Win,-100,12/2/20_CBB_Incarnate Word,
12/1/20 17:07,12/2/20,CBB,Baylor,100,0.71,,61,14,Baylor,61,12/2/20_CBB_Baylor,
12/2/20 10:21,12/2/20,CBB,North Dakota,100,0.7,,69,18,No Win,-100,12/2/20_CBB_North Dakota,
12/2/20 18:21,12/3/20,Soccer UEFA Europa League,Ludogorets,100,0.285,,550,85,No Win,-100,12/3/20_Soccer UEFA Europa League_Ludogorets,
12/2/20 18:21,12/3/20,Soccer UEFA Europa League,Ludogorets Draw,100,0.2643,,380,26,No Win,-100,12/3/20_Soccer UEFA Europa League_Ludogorets Draw,
12/2/20 18:21,12/3/20,Soccer UEFA Europa League,Celtic,100,0.1526,,700,22,No Win,-100,12/3/20_Soccer UEFA Europa League_Celtic,
12/3/20 10:42,12/3/20,Soccer UEFA Europa League,Villarreal,100,0.6554,,74,14,Villarreal,74,12/3/20_Soccer UEFA Europa League_Villareal,
12/2/20 18:21,12/3/20,Soccer UEFA Europa League,Nice,100,0.2161,,440,16,No Win,-100,12/3/20_Soccer UEFA Europa League_Nice,
12/2/20 18:21,12/3/20,Soccer UEFA Europa League,Rangers Draw,100,0.2423,,409,23,No Win,-100,12/3/20_Soccer UEFA Europa League_Rangers Draw,
12/3/20 10:42,12/3/20,Soccer UEFA Europa League,Benfica Draw,100,0.2258,,600,58,No Win,-100,12/3/20_Soccer UEFA Europa League_Benfica Draw,
12/3/20 10:52,12/3/20,Soccer UEFA Europa League,Hapoel Be'er,100,0.2124,,1000,133,No Win,-100,12/3/20_Soccer UEFA Europa League_Hapoel Be'er,
12/3/20 11:42,12/3/20,Soccer UEFA Europa League,Hapoel Be'er Draw,100,0.2409,,550,56,No Win,-100,12/3/20_Soccer UEFA Europa League_Hapoel Be'er Draw,
12/3/20 0:35,12/3/20,CBB,UMass Lowell,100,0.08,,1300,11,No Win,-100,12/3/20_CBB_UMass Lowell,
12/2/20 18:20,12/3/20,Soccer Brasileiro S√©rie A,Goiás,100,0.1984,,520,23,No Win,-100,12/3/20_Soccer Brasileiro S√©rie A_Goiás,
12/2/20 18:36,12/3/20,CBB,Tennessee Tech,100,0.21,,570,40,No Win,-100,12/3/20_CBB_Tennessee Tech,
12/2/20 18:36,12/3/20,CBB,Texas Southern,100,0.1,,1100,19,No Win,-100,12/3/20_CBB_Texas Southern,
12/3/20 0:35,12/3/20,CBB,North Carolina A&T,100,0.58,,93,11,No Win,-100,12/3/20_CBB_North Carolina A&T,
12/4/20 9:50,12/4/20,Soccer German Bundesliga 2,Fortuna Düsseldorf,100,0.4996,,145,22,Fortuna Düsseldorf,145,12/4/20_Soccer German Bundesliga 2_Fortuna Düsseldorf,
12/3/20 16:39,12/4/20,Soccer French Ligue 1,Nimes,100,0.2669,,351,20,No Win,-100,12/4/20_Soccer French Ligue 1_Nimes,
12/4/20 9:50,12/4/20,Soccer Italy Serie B,Ascoli,100,0.425,,165,12,No Win,-100,12/4/20_Soccer Italy Serie B_Ascoli,
12/3/20 17:00,12/4/20,CBB,Jacksonville,100,0.09,,1200,16,No Win,-100,12/4/20_CBB_Jacksonville,
12/4/20 9:40,12/4/20,CBB,Marquette,100,0.44,,160,14,Marquette,160,12/4/20_CBB_Marquette,
12/4/20 9:40,12/4/20,CBB,Mississippi St.,100,0.66,,69,11,Mississippi St.,69,12/4/20_CBB_Mississippi St.,
12/5/20 7:48,12/5/20,CBB,Idaho,100,0.15,,750,27,No Win,-100,12/5/20_CBB_Idaho,
12/4/20 13:08,12/5/20,Soccer Barclays Premier League,Burnley,100,0.3582,,309,46,No Win,-100,12/5/20_Soccer Barclays Premier League_Burnley,
12/4/20 15:45,12/5/20,Soccer Japanese J League,Cerezo Osaka,100,0.539,,177,49,Cerezo Osaka,177,12/5/20_Soccer Japanese J League_Cerezo Osaka,
12/4/20 13:08,12/5/20,Soccer Barclays Premier League,Chelsea,100,0.7112,,54,9,Chelsea,54,12/5/20_Soccer Barclays Premier League_Chelsea,
12/4/20 15:31,12/5/20,Soccer German Bundesliga,Arminia Bielefeld,100,0.3811,,185,8,Arminia Bielefeld,185,12/5/20_Soccer German Bundesliga_Arminia Bielefeld,
12/4/20 15:32,12/5/20,Soccer English League Championship,Preston North End Draw,100,0.2857,,280,8,Draw,280,12/5/20_Soccer English League Championship_Preston North End Draw,
12/4/20 15:32,12/5/20,Soccer English League Championship,Wycombe Wanderers,100,0.2341,,390,14,No Win,-100,12/5/20_Soccer English League Championship_Wycombe Wanderers,
12/4/20 15:32,12/5/20,Soccer English League Championship,Stoke City,100,0.4268,,163,12,Stoke City,163,12/5/20_Soccer English League Championship_Stoke City,
12/4/20 15:34,12/5/20,Soccer English League One,Gillingham,100,0.4718,,129,8,Gillingham,129,12/5/20_Soccer English League One_Gillingham,
12/4/20 15:34,12/5/20,Soccer English League One,Fleetwood Town,100,0.5032,,145,23,No Win,-100,12/5/20_Soccer English League One_Fleetwood Town,
12/4/20 15:34,12/5/20,Soccer English League One,Burton Albion,100,0.411,,220,31,No Win,-100,12/5/20_Soccer English League One_Burton Albion,
12/4/20 15:34,12/5/20,Soccer English League One,Hull City,100,0.5962,,110,25,No Win,-100,12/5/20_Soccer English League One_Hull City,
12/4/20 15:34,12/5/20,Soccer English League One,Peterborough United,100,0.3369,,229,11,No Win,-100,12/5/20_Soccer English League One_Peterborough United,
12/4/20 15:34,12/5/20,Soccer English League One,Charlton Athletic,100,0.4769,,129,9,No Win,-100,12/5/20_Soccer English League One_Charlton Athletic,
12/4/20 15:34,12/5/20,Soccer English League One,Sunderland Draw,100,0.2397,,380,15,No Win,-100,12/5/20_Soccer English League One_Sunderland Draw,
12/4/20 15:34,12/5/20,Soccer English League One,Wigan,100,0.1473,,700,17,Wigan,700,12/5/20_Soccer English League One_Wigan,
12/4/20 15:34,12/5/20,Soccer English League Two,Leyton Orient,100,0.4847,,145,18,No Win,-100,12/5/20_Soccer English League Two_Leyton Orient,
12/4/20 15:34,12/5/20,Soccer English League Two,Crawley Town,100,0.3508,,250,22,No Win,-100,12/5/20_Soccer English League Two_Crawley Town,
12/4/20 15:34,12/5/20,Soccer English League Two,Salford City,100,0.5484,,140,31,Salford City,140,12/5/20_Soccer English League Two_Salford City,
12/4/20 15:34,12/5/20,Soccer English League Two,Tranmere Rovers,100,0.5199,,135,22,No Win,-100,12/5/20_Soccer English League Two_Tranmere Rovers,
12/4/20 15:34,12/5/20,Soccer English League Two,Bradford City,100,0.356,,208,9,No Win,-100,12/5/20_Soccer English League Two_Bradford City,
12/4/20 15:34,12/5/20,Soccer English League Two,Colchester United,100,0.5276,,104,8,Colchester United,104,12/5/20_Soccer English League Two_Colchester United,
12/4/20 15:41,12/5/20,Soccer Dutch Eredivisie,Fortuna Sittard,100,0.4009,,188,15,Fortuna Sittard,188,12/5/20_Soccer Dutch Eredivisie_Fortuna Sittard,
12/4/20 15:41,12/5/20,Soccer Dutch Eredivisie,Ajax,100,0.9041,,20,9,No Win,-100,12/5/20_Soccer Dutch Eredivisie_Ajax,
12/4/20 15:41,12/5/20,Soccer Dutch Eredivisie,PEC Zwolle,100,0.2998,,295,18,PEC Zwolle,295,12/5/20_Soccer Dutch Eredivisie_PEC Zwolle,
12/4/20 15:41,12/5/20,Soccer Dutch Eredivisie,PEC Zwolle Draw,100,0.2799,,290,9,No Win,-100,12/5/20_Soccer Dutch Eredivisie_PEC Zwolle Draw,
12/4/20 15:58,12/5/20,Soccer Scottish Premiership,Dundee Utd,100,0.2995,,350,34,No Win,-100,12/5/20_Soccer Scottish Premiership_Dundee Utd,
12/4/20 16:37,12/5/20,Soccer French Ligue 2,Toulouse,100,0.5728,,138,36,No Win,-100,12/5/20_Soccer French Ligue 2_Toulouse,
12/4/20 16:37,12/5/20,Soccer French Ligue 2,Amiens,100,0.483,,160,25,Amiens,160,12/5/20_Soccer French Ligue 2_Amiens,
12/4/20 16:40,12/5/20,Soccer Brasileiro S√©rie A,Santos,100,0.3297,,259,18,No Win,-100,12/5/20_Soccer Brasileiro S√©rie A_Santos,
12/4/20 9:46,12/5/20,CFB,Auburn,100,0.463968972,,200,39,No Win,-100,12/5/20_CFB_Auburn,
12/4/20 9:46,12/5/20,CFB,Rutgers,100,0.343578191,,320,44,No Win,-100,12/5/20_CFB_Rutgers,
